type,seconds,round,chunk_distance,name,t,c,z,y,x
Indexed-TIFF,0.07889809,35,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,4,4
Indexed-TIFF,0.07643319,36,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,7,1
Indexed-TIFF,0.06409007,37,0,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,4,7
Indexed-TIFF,0.07922959,38,2,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,3,7
Indexed-TIFF,0.06402703,39,0,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,7,2
Indexed-TIFF,0.06375373,40,0,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,7,1
Indexed-TIFF,0.0576572,41,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,6,3
Indexed-TIFF,0.07967714000000001,42,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,5,2
Indexed-TIFF,0.08445318,43,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,4,7
Indexed-TIFF,0.07889112,44,2,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,6,6
Indexed-TIFF,0.07868115,45,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,3,2
Indexed-TIFF,0.07429205,46,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,1,5
Indexed-TIFF,0.06195967,47,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,4,1
Indexed-TIFF,0.06300592,48,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,6,6
Indexed-TIFF,0.06508435,49,0,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,1,2
Indexed-TIFF,0.06517601,50,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,4,7
Indexed-TIFF,0.04393829,51,0,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,3,5
Indexed-TIFF,0.05888961,52,0,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,2,6
Indexed-TIFF,0.09102672,53,2,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,5,6
Indexed-TIFF,0.10308013,54,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,5,1
Indexed-TIFF,0.06302712,55,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,4,3
Indexed-TIFF,0.06821084,56,2,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,3,6
Indexed-TIFF,0.0783219,57,2,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,1,6
Indexed-TIFF,0.07795953,58,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,6,6
