type,seconds,round,name,t,c,z,y,x
Indexed-TIFF,0.18440409,16,XY-1920-Z-259-C-4-T-1-XC-256,1,2,146,6,5
Indexed-TIFF,0.18174184000000002,17,XY-1920-Z-259-C-4-T-1-XC-256,1,1,199,5,3
Indexed-TIFF,0.14729545,18,XY-1920-Z-259-C-4-T-1-XC-256,1,2,89,5,7
Indexed-TIFF,0.18949782,19,XY-1920-Z-259-C-4-T-1-XC-256,1,4,171,1,1
Indexed-TIFF,0.18862335,20,XY-1920-Z-259-C-4-T-1-XC-256,1,2,224,1,3
Indexed-TIFF,0.1800421,21,XY-1920-Z-259-C-4-T-1-XC-256,1,1,42,7,5
Indexed-TIFF,0.16849539,22,XY-1920-Z-259-C-4-T-1-XC-256,1,3,220,7,3
Indexed-TIFF,0.15677426,23,XY-1920-Z-259-C-4-T-1-XC-256,1,2,169,3,5
Indexed-TIFF,0.19038345,24,XY-1920-Z-259-C-4-T-1-XC-256,1,3,183,4,6
Indexed-TIFF,0.1788887,25,XY-1920-Z-259-C-4-T-1-XC-256,1,2,85,7,6
Indexed-TIFF,0.17338706,26,XY-1920-Z-259-C-4-T-1-XC-256,1,2,223,5,7
Indexed-TIFF,0.15898585,27,XY-1920-Z-259-C-4-T-1-XC-256,1,3,177,6,4
Indexed-TIFF,0.1706532,28,XY-1920-Z-259-C-4-T-1-XC-256,1,4,206,5,5
Indexed-TIFF,0.18588999,29,XY-1920-Z-259-C-4-T-1-XC-256,1,4,128,4,1
Indexed-TIFF,0.16565447,30,XY-1920-Z-259-C-4-T-1-XC-256,1,1,45,1,3
Indexed-TIFF,0.18371077,31,XY-1920-Z-259-C-4-T-1-XC-256,1,2,194,1,2
Indexed-TIFF,0.18578101,32,XY-1920-Z-259-C-4-T-1-XC-256,1,1,27,6,3
Indexed-TIFF,0.18296138,33,XY-1920-Z-259-C-4-T-1-XC-256,1,3,173,5,1
Indexed-TIFF,0.15804851,34,XY-1920-Z-259-C-4-T-1-XC-256,1,2,51,5,5
Indexed-TIFF,0.13264339,35,XY-1920-Z-259-C-4-T-1-XC-256,1,2,202,1,3
